id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q262727,Mo Mowlam,1992-07-18,1992-09-29,,Q583993,,
Q583993,Michael Meacher,1993-10-21,1994-10-20,Q262727,Q332843,,
Q332843,"Ann Taylor, Baroness Taylor of Bolton",1994-10-20,1995-10-19,Q583993,Q1200029,,
Q1200029,"Derek Foster, Baron Foster of Bishop Auckland",1995-10-19,1997-05-02,Q332843,Q332314,,
Q332314,Michael Heseltine,1997-05-02,1997-06-19,Q1200029,Q333058,,
Q333058,Gillian Shephard,1997-06-19,1998-06-01,Q332314,Q259836,,
Q259836,"George Young, Baron Young of Cookham",1998-06-01,1999-06-15,Q333058,Q259836,,
Q259836,"George Young, Baron Young of Cookham",1999-06-15,2000-09-26,Q259836,Q532347,,
Q532347,Angela Browning,2000-09-26,2001-09-14,Q259836,Q5386503,,
Q5386503,Eric Forth,2001-09-14,2003-11-11,Q532347,Q333986,,
Q333986,Francis Maude,2007-07-02,2010-05-11,Q5386503,Q574896,,
Q574896,Rachel Reeves,2020-04-05,,Q333986,,,
